Date,Ball1,Ball2,Ball3,Ball4,Ball5,Star1,Star2
1512691200,4,22,30,32,34,3,4
1512432000,11,36,43,44,48,2,7
1512086400,5,24,29,35,46,11,12
1511827200,1,6,12,18,42,2,7
1511481600,19,24,28,30,50,3,10
1511222400,2,10,14,28,31,5,7
1510876800,20,26,35,36,42,5,12
1510617600,14,16,39,40,41,8,10
1510272000,13,22,29,36,37,1,9
1510012800,7,19,20,37,41,2,12
1509667200,5,12,17,33,41,4,9
1509408000,1,12,36,43,46,3,5
1509058800,3,16,23,32,39,1,4
1508799600,9,11,13,27,33,7,10
1508454000,4,17,23,27,30,3,8
1508194800,13,17,19,26,36,2,3
1507849200,23,29,37,45,50,5,11
1507590000,4,21,34,36,37,3,6
1507244400,1,9,15,19,25,1,7
1506985200,6,24,32,48,50,1,5
1506639600,7,18,19,32,48,3,7
1506380400,1,29,40,41,48,6,12
1506034800,6,11,31,39,42,1,3
1505775600,1,8,21,30,45,2,3
1505430000,13,18,37,44,49,9,12
1505170800,10,17,27,29,35,4,11
1504825200,9,24,42,47,49,1,5
1504566000,6,9,18,28,29,1,9
1504220400,3,7,8,14,49,5,8
1503961200,4,12,15,32,38,1,5
1503615600,1,5,7,15,47,9,12
1503356400,3,10,12,17,27,3,5
1503010800,2,24,39,42,45,2,8
1502751600,10,14,30,35,46,4,10
1502406000,18,28,39,46,48,5,12
1502146800,15,25,26,40,41,4,5
1501801200,29,30,36,40,41,2,9
1501542000,14,21,24,29,30,8,10
1501196400,5,9,29,31,41,2,4
1500937200,12,14,43,44,48,2,11
1500591600,1,8,9,26,49,5,9
1500332400,1,25,27,41,45,5,7
1499986800,11,14,20,21,47,7,10
1499727600,14,22,26,42,50,8,10
1499382000,11,20,35,37,45,3,6
1499122800,10,22,25,37,49,5,8
1498777200,17,35,39,47,50,6,8
1498518000,9,17,21,28,45,1,3
1498172400,3,4,21,31,38,3,7
1497913200,11,18,26,43,44,8,10
1497567600,15,17,38,41,42,9,12
1497308400,3,12,22,27,49,4,11
1496962800,9,20,27,39,43,10,11
1496703600,20,22,25,37,40,3,7
1496358000,8,10,24,33,42,3,9
1496098800,7,12,27,38,48,6,9
1495753200,5,7,26,36,39,2,10
1495494000,8,15,25,27,42,1,4
1495148400,9,11,12,19,30,4,9
1494889200,8,11,15,20,30,3,8
1494543600,2,20,28,29,44,3,9
1494284400,8,12,16,22,26,6,7
1493938800,3,7,30,35,43,1,3
1493679600,6,19,23,25,27,11,12
1493334000,14,20,25,30,39,2,8
1493074800,9,11,19,32,43,3,9
1492729200,2,13,16,22,49,4,5
1492470000,17,22,31,38,45,5,12
1492124400,4,14,20,23,33,6,10
1491865200,5,21,22,31,49,2,8
1491519600,2,10,19,35,50,6,7
1491260400,1,9,24,33,34,2,6
